Question_ID	Option	%
313	A little	9
313	A little less	1
313	A lot less	2
313	No difference or change	55
314	A lot 	27
314	A little	38
314	A little less	2
314	A lot less	1
314	No difference or change	32
315	A lot	16
315	A little	29
315	A little less	10
315	A lot less	2
315	No difference or change	44
316	A lot	15
316	A little	26
316	A little less	19
316	A lot less	13
316	No difference or change	27
317	A lot	13
317	A little 	46
317	A little less	4
317	A lot less	3
317	No difference or change	35
318	A lot 	10
318	A little	40
318	A little less	4
318	A lot less	2
318	No difference or change	43
319	A lot	9
319	A little	24
319	A little less	17
319	A lot less	17
319	No difference or change	33
320	A lot	6
320	A little	21
320	A little less	23
320	A lot less	16
320	No difference or change	33
321	A lot	5
321	A little	17
321	A little less	5
321	A lot less 	5
321	No difference or change	69
323	A lot	3
323	A little	4
323	A little less	1
323	A lot less	2
323	No difference or change	90
324	Will get better	17
324	Worse 	67.2
324	Stay the same	10
324	Unsure	5.9
325	Not worried	31.3
325	Somewhat not worried	28.3
325	Somewhat worried	24.1
325	Worried	8.6
325	Unsure	7.7
326	Not worried	13.3
326	Somewhat not worried	13.6
326	Somewhat worried	31.9
326	Worried	32.7
326	Unsure	8.4
327	Not worried	15.4
327	Somewhat not worried	11.6
327	Somewhat worried	27.8
327	Worried	34
327	Unsure	11.3
328	Not worried	4
328	Somewhat not worried	11.4
328	Somewhat worried	35.5
328	Worried	41.6
328	Unsure	7.6
329	Strictly following	29
329	Somewhat strictly following	50.5
329	Somewhat not strictly following	11.7
329	Not strictly following 	4
329	Unsure	4.7
330	Very good	22.3
330	Good 	40.2
330	Average 	20.8
330	Poor 	9.6
330	Very poor	6.7
330	Unsure	0.4
331	Constantly	14.4
331	Hourly	4.8
331	Several times a day	56.9
331	Once a day	21.2
331	Every couple days 	2.3
331	Once a week	0.2
331	Less than once a week	0.2
331	Unsure	0.1
332	Likely	3
332	Somewhat likely	5.6
332	Somewhat not likely	17.7
332	Not likely	69.8
332	Unsure	4
333	Self-employed	7
333	Paid full-time job	36
333	Paid part-time job	7
333	Retired	26
333	Homemaker	5
333	Not currently working because of recent layoff or business closure due to COVID-19/ Coronavirus	10
333	Have not been working since before March 1st, 2020	9
334	One	22
334	Two	41
334	Three	17
334	Four or Five	17
334	Six or more	2
335	Own	68
335	Rent	25
335	Live with someone rent-free	6
335	I do not have a place to live	0
335	Other	1
336	Very concerned	12
336	Somewhat concerned	22
336	Somewhat not concerned	14
336	Not at all concerned	27
336	I do not have to pay rent or a mortgage	27
337	Agree	66.8
337	Neither	15.1
337	Disagree	18
338	Agree	11.6
338	Neither	20.9
338	Disagree	67.6
339	Agree	43
339	Neither	33.5
339	Disagree	23.5
340	Agree	77.3
340	Neither	13.9
340	Disagree	8.3
341	Agree	77.9
341	Neither	13.9
341	Disagree	8.3
342	Agree	79.8
342	Neither	15.2
342	Disagree	5
343	Agree	87.9
343	Neither	9.8
343	Disagree	2.3
344	Agree	94.5
344	Neither	4.7
344	Disagree	0.8
345	Yes	81
345	No	15
345	Don’t know/Unsure	5
346	Yes	78
346	No	11
346	Don’t know/Unsure	11
347	News media (Tv/radio or newspapers, including digital channels)	76
347	Government agencies' own channels (e.g. websites for 1177, WHO or the Department of Public Health)	12
347	Social media discussions (e.g. Facebook or Twitter)	2
347	People in my personal environment (e.g. friends, family or neighbors)	2
347	Internet forums	2
347	Other	4
347	I haven't accessed any information about the coronavirus over the past two days	1
347	Uncertain, don't know	
348	Yes	52
348	No 	22
348	Don’t know/Unsure	26
350	Very hyped/ alarmist	19
350	Fairly hyped/ alarmist	48
350	Neither hyped/alarmist nor cautious/watchful	25
350	Fairly cautious/watchful	4
350	Very cautious/watchful	1
350	Dont't know 	3
351	Will get better	17
351	Worse	67.2
351	Stay the same	10
351	Unsure	5.9
352	Not worried	31.3
352	Somewhat not worried	28.3
352	Somewhat worried	24.1
352	Worried	8.6
352	Unsure	7.7
354	Not worried	15.4
354	Somewhat not worried	11.6
354	Somewhat worried	27.2
354	Worried	34
354	Unsure	11.3
355	Not worried 	4
355	Somewhat not worried	11.4
355	Somewhat worried	35.5
355	Worried	41.6
355	Unsure	7.6
356	Strictly following	29
356	Somewhat strictly following	50.5
356	Somewhat not structly following	11.7
356	Not strictly following	4
356	Unsure	4.7
357	Very good	22.3
357	Good	40.2
357	Average	20.8
357	Poor	9.6
357	Very poor	6.7
357	Unsure	0.4
358	Constantly	14.4
358	Hourly	4.8
358	Several times a day	56.9
358	Once a day	21.2
358	Every couple days	2.3
358	Once a week	0.2
358	Less tha once a week	0.2
358	Unsure	0.1
359	Likely	3
359	Somewhat likely	5.6
359	Somewhat not likely	17.7
359	Not likely	69.8
359	Unsure	
360	Very worried	60
360	Somewhat worried	30
360	A little worried	6
360	Not worried at all	2
360	Don't know/No answer	1
361	Very worried	33
361	Somewhat worried	28
361	A little worried 	14
361	Not worried at all 	12
361	Don't know/No answer	13
362	Very worried	25
362	Somewhat worried	45
362	A little worried	21
362	Not worried at all	8
362	Don't know/No answer	1
363	Very worried	19
363	Somewhat worried	21
363	A little worried	16
363	Not worried at all	26
363	Don't know/No answer	19
364	Very worried 	13
364	Somewhat worried	29
364	A little worried	31
364	Not worried at all 	25
364	Don't know/No answer	2
365	Yes	6
365	No	72
365	I don’t have any investments	22
366	Yes	45
366	No 	18
366	I did not have any travel plans	37
367	Yes	24
367	No	29
367	I did not plan any large purchases	48
368	Yes	92
368	No	8
369	Yes	78
369	No	22
370	Strongly agree	76
370	Somewhat agree	20
370	Somewhat disagree	2
370	Strongly disagree	1
370	Don't know/Unsure	2
371	Strongly agree	47
371	Somewhat agree	41
371	Somewhat disagree 	5
371	Strongly disagree	2
371	Don't know/Unsure	6
372	Strongly approve 	55
372	Somewhat approve	34
372	Somewhat disapprove	4
372	Strongly disapprove	2
372	Don't know/Unsure	6
373	Yes	24
373	No	7
373	I won’t be collecting either of these benefits from the government because I still have my job in the short term (next 4 months)	47
373	Don't know/Unsure	21
374	Strongly approve	49
374	Somewhat approve	36
374	Somewhat disapprove	5
374	Strongly disapprove	2
374	Don't know/Unsure	7
375	Yes	19
375	No 	14
375	I won’t be collecting either of these benefits from the government of Canada because I don’t own a business	43
375	Don't know/Unsure	23
376	Yes	34
376	No	24
376	Don't know/Unsure	42
377	Some people say that the government has done a good job so far and should go even further to support people and small businesses through this pandemic	57
377	Other people say that despite a global pandemic, the government is spending way too much or will end up spending way too much and the enormous amount of deficits and debt will do more harm to Canadians over the long term	22
377	Don't know/Unsure	21
378	Approve	58
378	Disapprove	26
378	Don't know/Unsure	16
379	Yes 	0.61
379	No	0.39
380	Yes 	64
380	No36	
381	No, and I don't plan to prepare	39
381	Yes, I'm in the process of preparing 	24
381	No, but I will be preparing soon	23
381	Yes, I've already prepared	14
382	Bought supplies in-store	32
382	Bought supplies online 	14
382	Haven't bought supplies 	62
383	Yes 	24
383	No	76
402	Very high threat	14
402	High threat	22
402	Moderate threat	35
402	Low threat	21
402	Very low threat	7
402	Don't know	2
403	Very high threat	40
403	High threat	34
403	Moderate threat	20
403	Low threat	4
403	Very low threat	2
403	Don't know	1
404	Very high threat	39
404	High threat	35
404	Moderate threat	19
404	Low threat	4
404	Very low threat	1
404	Don’t know	2
405	Very high threat	41
405	High threat	37
405	Moderate threat	17
405	Low threat	3
405	Very low threat	1
405	Don’t know	1
406	Very high threat	20
406	High threat	26
406	Moderate threat	39
406	Low threat	10
406	Very low threat	3
406	Don’t know	1
407	Yes	93
407	No	4
407	Don't know	3
408	Yes	79
408	No	11
408	Don't know	10
409	Yes	87
409	No	5
409	Don't know	8
410	Yes	68
410	No	21
410	Don't know	11
411	Yes	79
411	No	10
411	Don't know	11
412	Yes	92
412	No	4
412	4	
413	Yes	72
413	No	17
413	Don't know	11
414	Yes	47
414	No 	36
414	Don't know	16
415	Yes	87
415	No	6
415	Don't know 	7
416	Yes	62
416	No	21
416	Don't know	17
417	Yes	86
417	No	7
417	No 	7
418	For another week	2
418	For a few more weeks	16
418	For a few months	43
418	For at least 6 months	23
418	Up to a year	9
418	More than a year	7
419	For another week	7
419	For a few more weeks	23
419	For a few months	37
419	For at least 6 months	18
419	Up to a year	9
419	More than a year	7
420	Yes	28
420	No	70
420	Don't know	3
422	Yes	48
422	No	50
422	Don't know	2
423	Yes	14
423	No	85
423	Don't know	2
424	Yes	16
424	No	82
424	Don't know	3
425	Yes	66
425	No	32
425	Don't know	2
426	Yes	20
426	No	73
426	Don't know	7
427	Yes	59
427	No	38
427	Don't know	3
428	Very likely	20
428	Somewhat likely	35
428	Not too likely	25
428	Not at all likely	15
428	Don’t know	5
429	Very likely	47
429	Somewhat likely 	35
429	Not too likely 	9
429	Not at all likely 	5
429	Don't know 	4
430	Very likely	30
430	Somewhat likely 	30
430	Not too likely 	23
430	Not at all likely 	12
430	Don't know 	5
431	Very likely	10
431	Somewhat likely	13
431	Not too likely	36
431	Not at all likely	36
431	Don't know	4
432	Very likely 	10
432	Somewhat likely	16
432	Not too likely	36
432	Not at all likely	34
432	Don't know	4
433	Very likely	41
433	Somewhat likely	36
433	Not too likely	15
433	Not at all likely	6
433	Don’t know	3
434	Very likely	13
434	Somewhat likely	17
434	Not too likely	33
434	Not at all likely	32
434	Don't know	6
435	Very likely	40
435	Somewhat likely	32
435	Not too likely	17
435	Not at all likely	8
435	Don’t know	3
436	My community will never fully recover	3
436	My community will suffer in the short- term, but will recover in the long-term	53
436	My community will only suffer a little	16
436	My community will emerge stronger than ever	18
436	Don’t know/Not sure	11
437	Doing everything possible to prevent the coronavirus from spreading and keep people from getting sick and dying	72
437	Doing everything possible to keep the economy strong and avoid a recession	21
437	Don’t know	7
438	Yes	61
438	No	14
438	Don't know	25
439	Yes	51
439	No	30
439	Don't know	19
440	Strongly agree	44
440	Somewhat agree	34
440	Somewhat disagree	11
440	Strongly disagree	3
440	Don’t know	7
441	Strongly agree	44
441	Somewhat agree	40
441	Somewhat disagree	7
441	Strongly disagree	4
441	Don’t know	6
442	Very concerned	30
442	Somewhat concerned	32
442	Not very concerned	24
442	Not at all concerned	15
443	Very Concerned	41
443	Somewhat concerned	36
443	Not very concerned	15
443	No at all concerned	8
444	Strongly agree	17
444	Somewhat agree	33
444	Somewhat disagree	25
444	Strongly disagree	18
444	Don’t know	8
445	Very concerned	36
445	Somewhat concerned	35
445	Not very concerned	18
445	Not at all concerned	11
446	Very concerned	25
446	Somewhat concerned	26
446	Not very concerned	23
446	Not at all concerned	25
447	Strongly agree	32
447	Somewhat agree	28
447	Somewhat disagree	21
447	Strongly disagree	12
447	Don’t know	8
449	Strongly agree	19
449	Somewhat agree	35
449	Somewhat disagree	27
449	Strongly disagree	10
449	Don’t know	9
450	Strongly agree	39
450	Somewhat agree	29
450	Somewhat disagree	16
450	Strongly disagree	8
450	Don’t know	8
451	Strongly agree	42
451	Somewhat agree	35
451	Somewhat disagree	10
451	Strongly disagree	4
451	Don’t know	9
452	Strongly agree	20
452	Somewhat agree	30
452	Somewhat disagree	24
452	Strongly disagree	20
452	Don’t know	6
453	Strongly agree	30
453	Somewhat agree	44
453	Somewhat disagree	13
453	Strongly disagree	5
453	Don’t know	8
454	Very concerned	39
454	Somewhat concerned	32
454	Not very concerned	16
454	Not at all oncerned	12
455	Talked to someone about Coronavirus (Net)	63
455	Talked to my family about the Coronavirus	37
455	Talked to my friends about the Coronavirus	41
455	Talked to my colleagues about the Coronavirus	21
455	Talked to a medical professional about my/my family's risk of contacting the Coronavirus	15
455	Increased my use of hand sanitizer	42
455	Avoided Transportation (Net)	30
455	Avoided going on airplanes	20
455	Avoided going on busses	16
456	Avoided going on subways	15
456	Avoided carpooling	11
456	Avoided going to airports	20
456	Postponed vacation planning	17
456	Looked for protective face masks (online or in store)	15
458	Very willing	36
458	Somewhat willing	36
458	Not very willing	14
458	Not at all willing	12
458	Not applicable	3
459	Very willing	42
459	Somewhat willing	21
459	Not very willing	15
459	Not at all willing	27
459	Not applicable	16
460	Very willing	85
460	Somewhat willing	37
460	Not very willing	8
460	Not at all willing	5
460	Not applicable	2
461	Very willing	28
461	Somewhat willing	33
461	Not very willing	17
461	Not at all willing	17
461	Not applicable	
462	Very willing	25
462	Somewhat willing	27
462	Not very willing	19
462	Not at all willing	21
462	Not applicable	8
463	Very willing	33
463	Somewhat willing	26
463	Not very willing	13
463	Not at all willing 	15
463	Not applicable	13
464	Very willing	58
464	Somewhat willing	25
464	Not very willing	8
464	Not at all willing	5
464	Not applicable	4
465	Very willing	27
465	Somewhat willing	25
465	Not very willing	14
465	Not at all willing	14
465	Not applicable	19
466	Very willing	31
466	Somewhat willing	29
466	Not very willing	20
466	Not at all willing	15
466	Not aplicable	5
467	Very willing	43
467	Somewhat willing	37
467	Not very willing	9
467	Not at all willing	7
467	Not applicable	4
468	Very willing	48
468	Somewhat willing	31
468	Not very willing	10
468	Not at all willing	8
468	Not applicable	4
469	Very willing	22
469	Somewhat willing	20
469	Not very willing	17
469	Not at all willing	24
469	Not applicable	17
470	Very knowledgeable	18
470	Somewhat knowledgeable	58
470	Not very knowledgeable	20
470	Not at all knowledgeable	4
471	TRUE	86
472	TRUE	79
472	Not at all sure	11
474	It sounds very good to me, and I would support it	30
474	It sounds somewhat good to me, and I would probably support it	38
474	It does not sound very good to me, and I would probably not support it	15
474	It does not sound good at all, and I would not support it	6
474	Don’t know/Don’t have enough information to say	10
475	It sounds very good to me, and I would support it	36
475	It sounds somewhat good to me, and I would probably support it	37
475	It does not sound very good to me, and I would probably not support it	14
475	It does not sound good at all, and I would not support it	4
475	Don’t know/Don’t have enough information to say   	8
477	It sounds very good to me, and I would support it   	26
477	It sounds somewhat good to me, and I would probably support it	29
477	It does not sound very good to me, and I would probably not support it	22
477	It does not sound good at all, and I would not support it	9
477	Don’t know/Don’t have enough information to say	14
478	It sounds very good to me, and I would support it	37
478	It sounds somewhat good to me, and I would probably support it	37
478	It does not sound very good to me, and I would probably not support it	14
478	It does not sound good at all, and I would not support it	4
478	Don’t know/Don’t have enough information to say	9
479	It sounds very good to me, and I would support it	67
479	It sounds somewhat good to me, and I would probably support it	22
479	It does not sound very good to me, and I would probably not support it	4
479	It does not sound good at all, and I would not support it	2
479	Don’t know/Don’t have enough information to say   	4
480	It sounds very good to me, and I would support it	44
480	It sounds somewhat good to me, and I would probably support it	36
480	It does not sound very good to me, and I would probably not support it	10
480	It does not sound good at all, and I would not support it	4
480	Don’t know/Don’t have enough information to say	7
481	A few weeks 	2
481	A month or two 	14
481	Three to six months 	41
481	Six months to a year	34
481	Later than the end of 2021	9
482	Hugging friends/family outside your household 	45
482	Reconnecting with people I haven't seen	34
482	Going on vacation	16
482	Going to a restaurant/café/bar	31
482	Going to the gym/a fitness class	9
482	Going to a public event i.e. hockey game/concert etc.	6
482	Going back to work/workplace	16
482	Watching live sports 	7
482	Going shopping 	11
484	TRUE	57
486	Strongly agree	27
486	somewhat agree	34
486	somewhat disagree	23
486	strongly disagree	16
487	Strongly agree	23
487	Somewhat agree	37
487	Somewhat disagree	24
487	Strongly disagree	16
488	Strongly agree	23
488	Somewhat agree	39
488	Somewhat disagree	23
488	Strongly disagree	16
489	Strongly agree	54
489	Somewhat agree	26
489	Somewhat disagree	13
489	Strongly disagree	8
490	Strongly agree	23
490	Somewhat agree	35
490	Somewhat disagree	28
490	Strongly disagree	14
491	Strongly agree	14
491	Somewhat agree	33
491	Somewhat disagree	29
491	Strongly disagree	23
492	Strongly agree	25
492	Somewhat agree	45
492	Somewhat disagree	21
492	Strongly disagree	10
493	I have taken steps to make sure I leave my residence as little as possible	91
493	I have been leaving my residence as I normally would	9
495	0 to 1 week worth of basic supplies/provisions	14
495	1 to 2 weeks	38
495	2 to 3 weeks	22
495	3 to 4 weeks	14
495	4 to 8 weeks	8
495	More than 8 weeks worth of basic supplies/provisions	3
496	0 to 2 weeks worth of basic supplies/provisions	52
496	2 to 4 weeks 	37
496	More than 4 weeks worth of basic supplies/provisions	11
497	Less than 1 week worth of basic supplies/provisions	3
497	About 1 week	11
497	More than 1 week but less than 2 weeks	16
497	About 2 weeks	22
497	More than 2 weeks but less than 3 weeks	11
497	About 3 weeks	12
497	More than 3 weeks but less than 4 weeks	4
497	About 1 month	10
497	More than 1 month but less than 2 months	5
497	About 2 months	3
497	More than 2 months worth of supplies and provisions	3
498	Streaming shows and movies (Netflix, Crave, Apple TV etc.)	More than 1 month but less than 2 months=5;About 2 months=3;More than 2 months worth of supplies and provisions=6
498	Cleaning/organizing your space	59
498	Phone/Video calling friends and family 	55
498	Going for walks	53
498	Baking/cooking	49
498	Reading books	40
498	Playing video games	33
498	Eating unhealthy food	32
498	Playing board games/doing puzzles	29
498	Exercising in other ways than walks	26
498	Other: specify	16
499	Several times a day 	16
499	At least once a day 	40
500	Agree	58
502	My employer	45
502	My country 	53
503	My employer	65
504	Major news organizations	66
504	National government sources	31
504	Social media	33
504	Global health organizations like the WHO	45
504	National health authorities like the CDC	41
504	My friends and family	22
504	Local government sources	27
505	Business alone	3
505	Government alone	22
506	Agree	78
508	Several times a day 	58
508	At least once a day	35
509	Several times a day 	55
509	At least once a day 	36
510	Several times a day	55
510	At least once a day	35
511	Net: Self/other Family member/Friends	53
511	You personally becoming sick from coronavirus	22
511	Someone in your household getting sick	34
511	Other family (not in your household) or friends becoming sick	42
511	Coronavirus hurting your personal financial situation	44
512	Net: Self/other Family member/Friends	92
512	You personally becoming sick from coronavirus	70
512	Someone in your household getting sick	77
512	Other family (not in your household) or friends becoming sick	88
512	Coronavirus hurting your personal financial situation	76
513	Net: Self/other Family member/Friends	36
513	You personally becoming sick from coronavirus	30
513	Someone in your household getting sick	23
513	Other family (not in your household) or friends becoming sick	12
513	Coronavirus hurting your personal financial situation	24
514	Very concerned 	22
514	Moderately concerned	48
514	Not that concerned	24
514	Not at all concerned	6
515	Very concerned	34
515	Moderately concerned	42
515	Not that concerned	16
515	Not at all concerned	7
516	Very concerned	42
516	Moderately concerned	46
516	Not that concerned	9
516	Not at all concerned	3
517	Very concerned	44
517	Moderately concerned	32
517	Not that concerned	18
517	Not at all concerned	6
518	There is a serious threat of a coronavirus outbreak in Canada	88
518	The threat of a coronavirus outbreak in Canada has been overblown	12
519	Someone who has been diagnosed with COVID-19	5
519	Someone who has been tested for it	20
519	Someone whose symptoms might be COVID-19, but hasn’t been tested yet	21
519	None of the above	64
520	Washing hands more often/using sanitizer	89
520	Keeping extra personal distance from people	85
520	Not shaking hands with people/hugging them, etc.	84
520	Staying away from public spaces	81
520	Other (please specify):	13
520	None of these	1
521	You, personally	35
521	Someone in your household	23
521	No, neither	53
522	You, personally	26
522	Someone in your household	18
522	No, neither	63
523	You, personally	73
523	Someone in your household	30
523	No, neither	21
524	You, personally	51
524	Someone in your household	25
524	No, neither	39
525	You, personally	24
525	Someone in your household	26
525	No, neither	56
526	Yes	32
526	No	39
526	N/A – not working	29
527	Yes	18
527	No	22
527	You, personally affected	24
527	Someone in your household affected	26
527	N/A – not working 	16
528	TV/Radio news 	52.1
528	Institutional web sources (e.g. Health Ministry, Region)	20.5
528	Daily press	10.3
528	Social media contacts 	6.8
528	My own GP	6.5
528	Other 	1.7
529	Indications from national and local institutions	41.4
529	My own GP	28.3
529	TV/Radio broadcasts 	17.5
529	Pharmacists 	4.4
529	Relatives or friends 	3.6
529	Newspaper articles 	2.7
529	Web forums or social media contacts 	2.5
530	Positive 	76.1
530	Negative 	9
530	I can't judge 	14.9
531	Positive	64.6
531	Negative 	17.9
531	I can't judge 	17.5
532	Positive 	64.1
532	Negative 	20.6
532	I can't judge	15.3
533	Positive 	61
533	Negative 	21.9
533	I can't judge 	17.1
534	Positive 	53.3
534	Negative 	31.9
534	I can't judge 	14.8
535	Postitive 	47.5
535	Negative 	41
535	I can't judge 	11.5
536	Following normal precautions there is no danger of contagion	34.2
536	The only solution to reduce contagion is staying at home 	19.5
536	There is too much exaggeration on the dangers of Covid-19	16.6
536	Covid-19 is not more harmful than a normal flu	12.8
536	The pandemic is already out of control and threatens us all	11.2
536	The individual cannot do anything to avoid contagion	5.6
537	TV/Radio News	66.6
537	Institutional web sources (e.g. Health Ministry, Region)	14.7
537	Daily press	11.2
537	Social media contacts 	4.2
537	My own GP	1.7
537	Other	1.4
537	I am not looking for information 	0.2
538	Indications from national and local institutions 	48.4
538	My own GP	13.5
538	TV/Radio broadcasts 	22.4
538	Pharmacists 	5.6
538	Relatives or friends 	4.2
538	Newspaper articles 	3.2
538	Web forums or social media contacts 	2.7
539	Postitive 	86.5
539	Negative 	8.2
539	I can't judge 	5.3
540	Postitive 	75.1
540	Negative 	12.7
540	I can't judge 	12.2
541	Positive 	77.5
541	Negative 	15.3
541	I cant't judge 	7.2
542	Positive 	72.4
542	Negative 	10.3
542	I can't say	17.3
543	Positive 	62.7
543	Negative 	19.5
543	I can't say	17.8
544	Positive 	65.6
544	Negative 	23.1
544	I can't judge 	11.3
545	Postitive 	63.1
545	Negative 	26.7
545	I can't say	10.2
