Question_ID	Option	%
157	Just Fair	19
157	Poor	9
157	Don't Know / No Opinion	14
158	Excellent	28
158	Good	41
158	Just Fair	17
158	Poor	7
158	Don't Know / No Opinion	7
159	Excellent	9
159	Good	22
159	Just Fair	24
159	Poor	38
159	Don't Know / No Opinion	6
160	Excellent	13
160	Good	27
160	Just Fair	25
160	Poor	30
160	Don't Know / No Opinion	6
161	Excellent	12
161	Good	24
161	Just Fair	26
161	Poor	27
161	Don't Know / No Opinion	11
162	Excellent	11
162	Good	25
162	Just Fair	26
162	Poor	26
162	Don't Know / No Opinion	12
163	Excellent	13
163	Good	22
163	Just Fair	24
163	Poor	34
163	Don't Know / No Opinion	7
164	Excellent	15
164	Good	28
164	Just Fair	24
164	Poor	24
164	Don't Know / No Opinion	10
165	The Trump Administration is doing too much in response to the coronavirus outbreak	3
165	The Trump Administration is doing the right amount in response to the coronavirus outbreak	41
165	The Trump Administration is not doing enough in response to the coronavirus outbreak	45
165	Don't Know / No Opinion	11
166	In the next two weeks	6
166	In the next month	20
166	In the next two months	27
166	In the next three months	18
166	In the next six months	9
166	More than six months from now	7
166	Don't Know / No Opinion	13
167	A lot	14
167	Some	28
167	Not Much	36
167	None at all	15
167	Don't Know / No Opinion	6
168	Strongly support	40
168	Somewhat support	34
168	Somewhat oppose	11
168	Strongly oppose	8
168	Don't Know / No Opinion	7
169	Strongly approve	27
169	Somewhat approve	22
169	Somewhat disapprove	11
169	Strongly disapprove	31
169	Don't Know / No Opinion	8
170	Strongly approve	14
170	Somewhat approve	38
170	Somewhat disapprove	20
170	Strongly disapprove	13
170	Don't Know / No Opinion	15
171	Strongly approve	13
171	Somewhat approve	35
171	Somewhat disapprove	13
171	Strongly disapprove	9
171	Don't Know / No Opinion	30
172	Strongly approve	13
172	Somewhat approve	26
172	Somewhat disapprove	11
172	Strongly disapprove	13
172	Don't Know / No Opinion	36
173	Strongly approve	9
173	Somewhat approve	39
173	Somewhat disapprove	21
173	Strongly disapprove	11
173	Don't Know / No Opinion	20
174	Strongly support	19
174	Somewhat support	32
174	Somewhat oppose	20
174	Strongly oppose	19
174	Don't Know / No Opinion	11
175	Strongly support	23
175	Somewhat support	33
175	Somewhat oppose	17
175	Strongly oppose	15
175	Don't Know / No Opinion	12
176	Strongly support	40
176	Somewhat support	39
176	Somewhat oppose	9
176	Strongly oppose	3
176	Don't Know / No Opinion	9
177	Strongly support	55
177	Somewhat support	31
177	Somewhat oppose	5
177	Strongly oppose	2
177	Don't Know / No Opinion	7
178	Strongly support	13
178	Somewhat support	33
178	Somewhat oppose	24
178	Strongly oppose	16
178	Don't Know / No Opinion	14
179	Strongly support	17
179	Somewhat support	34
179	Somewhat oppose	22
179	Strongly oppose	13
179	Don't Know / No Opinion	14
180	Strongly support	36
180	Somewhat support	39
180	Somewhat oppose	10
180	Strongly oppose	4
180	Don't Know / No Opinion	11
181	Strongly support	17
181	Somewhat support	34
181	Somewhat oppose	22
181	Strongly oppose	13
181	Don't Know / No Opinion	14
182	Strongly support	18
182	Somewhat support	41
182	Somewhat oppose	19
182	Strongly oppose	9
182	Don't Know / No Opinion	12
183	Strongly support	29
183	Somewhat support	42
183	Somewhat oppose	14
183	Strongly oppose	6
183	Don't Know / No Opinion	10
184	Strongly support	15
184	Somewhat support	29
184	Somewhat oppose	21
184	Strongly oppose	22
184	Don't Know / No Opinion	13
185	Strongly support	9
185	Somewhat support	19
185	Somewhat oppose	24
185	Strongly oppose	37
185	Don't Know / No Opinion"	11
186	Strongly support	17
186	Somewhat support	27
186	Somewhat oppose	23
186	Strongly oppose	19
186	Don't Know / No Opinion	14
187	Strongly support	19
187	Somewhat support	35
187	Somewhat oppose	17
187	Strongly oppose	16
187	Don't Know / No Opinion	13
188	Strongly support	34
188	Somewhat support	42
188	Somewhat oppose	9
188	Strongly oppose	5
188	Don't Know / No Opinion	10
189	Strongly support	49
189	Somewhat support	33
189	Somewhat oppose	4
189	Strongly oppose	4
189	Don't Know / No Opinion	10
190	Strongly support	12
190	Somewhat support	30
190	Somewhat oppose	26
190	Strongly oppose	16
190	Don't Know / No Opinion	16
191	Strongly support	15
191	Somewhat support	31
191	Somewhat oppose	23
191	Strongly oppose	15
191	Don't Know / No Opinion	16
192	Strongly support	30
192	Somewhat support	39
192	Somewhat oppose	11
192	Strongly oppose	8
192	Don't Know / No Opinion	12
193	Strongly support	15
193	Somewhat support	33
193	Somewhat oppose	21
193	Strongly oppose	15
193	Don't Know / No Opinion	15
194	Strongly support	17
194	Somewhat support	37
194	Somewhat oppose	19
194	Strongly oppose	12
194	Don't Know / No Opinion	15
195	Strongly support	23
195	Somewhat support	45
195	Somewhat oppose	13
195	Strongly oppose	7
195	Don't Know / No Opinion	13
196	Strongly support	13
196	Somewhat support	27
196	Somewhat oppose	21
196	Strongly oppose	24
196	Don't Know / No Opinion	15
197	Strongly support	10
197	Somewhat support	14
197	Somewhat oppose	24
197	Strongly oppose	37
197	Don't Know / No Opinion	14
198	Strongly support	61
198	Somewhat support	24
198	Somewhat oppose	6
198	Strongly oppose	3
198	Don't Know / No Opinion	7
199	Strongly support	16
199	Somewhat support	27
199	Somewhat oppose	22
199	Strongly oppose	21
199	Don't Know / No Opinion	14
200	Strongly support	39
200	Somewhat support	38
200	Somewhat oppose	8
200	Strongly oppose	3
200	Don't Know / No Opinion	12
201	Strongly support	48
201	Somewhat support	35
201	Somewhat oppose	5
201	Strongly oppose	2
201	Don't Know / No Opinion	10
202	Strongly support	63
202	Somewhat support	23
202	Somewhat oppose	4
202	Strongly oppose	2
202	Don't Know / No Opinion	8
203	Strongly support	35
203	Somewhat support	34
203	Somewhat oppose	12
203	Strongly oppose	4
203	Don't Know / No Opinion	15
204	Government should provide financial assistance to businesses during the coronavirus pandemic, because  individual Americans will benefit from the economic activity	15
204	Government should provide financial assistance to individual Americans during the coronavirus pandemic, because businesses will benefit from the economic activity	73
204	Don't Know / No Opinion	12
205	Very high	11.8
205	High	26.3
205	Low	39.7
205	Very low	22.2
206	Yes 	0.6
206	No	99.4
207	Yes 	8.9
207	No	91.9
208	The CDC	28.1
208	WHO	10.6
208	Trump	13.2
208	Television	30.4
208	Print News	5
208	Social 	5.1
208	Family and friends	2.4
208	Somewhere else	5.3
209	Yes 	11.4
209	No	88.6
210	Yes 	71.2
210	No	28.8
211	Yes 	28.2
211	No	71.8
212	Yes 	74.3
212	No	25.7
213	Yes 	27.6
213	No	72.3
214	Yes 	81.4
214	No	6.8
214	Don't know	11.8
215	Yes 	81.6
215	No	10.1
215	Don't know	8.3
216	Yes 	66.6
216	No	21.4
216	Don't know	12
217	Reduced ability a lot	17.8
217	Reduced ability somewhat	32.2
217	Reduced ability only a little	29.2
217	Not reduced ability at all	14.1
217	Made it easier to get the food we need 	6.6
218	Yes 	25.7
218	No	68.1
218	Not sure	6.2
219	Very high	12.4
219	High	26.6
219	Low 	38.3
219	Very low	22.7
220	Yes 	1.3
220	No	98.7
221	Yes 	13.8
221	No	86.2
222	The CDC	25.2
222	WHO	11.8
222	Trump	10.3
222	Television	34.6
222	Print News	6.9
222	Social	4.5
222	Family and friends	3
222	Somewhere else	3.7
223	Yes 	15.2
223	No	84.8
224	Yes 	71.2
224	No	28.8
225	Yes 	27.6
225	No	72.4
226	Yes 	71.8
226	No	28.2
227	Yes 	33.6
227	No	66.4
228	Yes 	80.1
228	No	5.9
228	Don't know	14
229	Yes 	88.3
229	No	8.6
229	Don't know	8.1
230	Yes 	68..8
230	No	19
230	Don't know	12.2
231	Reduced ability a lot	21.5
231	Reduced ability somewhat	30.4
231	Reduced ability only a little 	27.6
231	Not reduced ability at all	12.8
231	Made it easier to get the food we need 	7.7
232	Yes 	25.7
232	No	68.1
232	Not sure	6.2
233	Extremely concerned	43
233	Moderately concerned	34
233	A little concerned	17
233	Not concerned at all	5
233	Unsure	0
234	Completely satisfied	23
234	Mostly satisfied	23
234	Not very satisfied	20
234	not satisfied at all	32
234	unsure	2
235	Completely satisfied	20
235	Mostly satisfied	50
235	Not very satisfied	18
235	not satisfied at all	9
235	unsure	2
236	Approve	4400%
236	Disapprove	5100%
236	Neither approve nor dissapprove	5
237	It acted too slowly to respond	57
237	It acted in a timely and responsible way	35
237	It is overreacting to the outbreak	6
237	Unsure	2
238	Coronavirus has already been reported in my local area	55
238	Very likely	16
238	Moderatly likely	15
238	A little likely	9
238	Not likely at all	3
238	Unsure	1
239	I/Someone I know has coronavirus	13
239	Forced me to change plans	52
239	Taking precautions/Changed habits	25
239	Hasn't affected me in any way	9
239	Unsure	1
240	Extremely worried	19
240	Somewhat worried	41
240	Not too worried	27
240	Not worried at all	11
240	Unsure	1
241	Very confident	11
241	Moderatly confident	21
241	Not very confident	26
241	Not confident at all	35
241	Unsure	8
242	The impact on health, safety, and the medical system	53
242	The impact on jobs, income, and the economy	42
242	Neither approve nor dissapprove	1
242	Unsure	3
243	Yes	82
243	No	17
243	Unsure	0
244	Less than two weeks (by Easter)	3
244	 Up to a month (end of April)	17
244	Two to three months (end of June)	36
244	Six months or more (September or later)	0.3
244	Things will never get back to normal	8
244	Nothing has changed for me	0
244	Unsure	6
245	Support	69
245	Oppose	15
245	I don't know enough to say	16
246	A real threat	74
246	Blown out of proportion	20
246	Unsure	6
247	Television news	35
247	Online news sites	30
247	Government websites	15
247	Social media	5
247	My doctor	3
247	Newspapers	2
247	Family and friends	2
247	Other	8
247	Unsure	1
248	Making the outbreak sound worse than it actually is	38
248	Giving an accurate picture of the outbreak	40
248	Not fully reporting the seriousness of the outbreak	12
248	Unsure	10
249	Yes	94
249	No	5
249	Unsure	1
250	I am mostly concerned about the health threat of the coronavirus (COVID-19)	65
250	I am most concerned about the financial threat to my own well being due to the coronavirus (COVID-19)	24
250	Neither	12
251	We should stay the course-keep things locked down as much as possible with government financial support until we get a medical solution so people won't get the virus	44
251	We should stay the course-keep things locked down as much as possible with government financial support until we get things manageable within our healthcare system	24
251	We should start loosening up restrictions so we can start going back to work-as long as I, my colleagues, and every workplace practice proper hygiene and self distancing to reduce the chance of contracting or spreading the virus	7
251	We should let people go back to work and get into some normal living-even though there will be the threat of people getting the virus and maybe even dying, then that is a risk we will all have to take	7
252	Very Afraid	20
252	Somewhat afraid	42
252	Not very afraid	29
252	Not afraid at all	8
252	I already have or have been exposed to the virus	0
252	Don't Know/Refuse	1
